Product;Prices;Store;Links
Teclados 134 Teclas XDA Keycaps DIY Custom Profile Dye Sublimation PBT Keycap ...;R$12,611.00;DHgate online store;https://www.google.com/url?url=https://pt.dhgate.com/product/keyboards-134-keys-xda-keycaps-diy-custom/885584999.html%3Ff%3Dbm%257CGMC%257C%257Bifdyn:dyn%257D%257Bifpla:pla%257D%257Bifdbm:DBM%257D%257C%257Bcampaignid%257D%257C%257Badgroupid%257D%257C885584999%257C%257Btargetid%257D%257C104006001%257CBR%257Cping04%257C%257Bdevice%257D%257C2%257C%257Bgclid%257D%257C%26utm_source%3D%257Bifdyn:dyn%257D%257Bifpla:pla%257D%257Bifdbm:DBM%257D%26utm_medium%3DGMC%26utm_campaign%3Dping04%26utm_term%3D885584999&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIzgg&usg=AOvVaw2FMlgOwvn-or9cSsf3yct7
RED 2-Key Pbt Keycaps Gold-Plated Metal Personality Light Transmission;R$27.70;Shopee;https://www.google.com/url?url=https://shopee.com.br/product/298141838/5173372513&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI2gg&usg=AOvVaw1u8Yy1DKa4TNi6uWFGuqqD
Red Pixel Heart Keycaps Set, Caps de seta WASD para teclado mecânico, Perfil OEM ...;R$10.53;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005005884932350.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI5wg&usg=AOvVaw1tLK50-zjpoPHJpBANL5Os
GMKY 176 KEYS Cherry Profile Olivia Keycap DOUBLE SHOT Thick PBT Keycaps FOR MX ...;R$172.99;SpheraX;https://www.google.com/url?url=https://spherax.com.br/products/gmky-176-keys-cherry-profile-olivia-keycap-double-shot-thick-pbt-keycaps-for-mx-switch-mechanical-keyboard%3Fvariant%3D46578612437268%26currency%3DBRL%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoo6V1hye2t1cwt-v9wDm0bTA-jC2UgXXRuHpLTsk4V7B3sA8NcmB4s&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI8wg&usg=AOvVaw06AKMEKVBF1wGysZtUGyIs
One Piece Luffy Red Keycaps;R$251.96 + tax;The Kapco;https://www.google.com/url?url=https://www.thekapco.com/products/one-piece-film-red-luffy-themed-keycaps-set%3Fcurrency%3DUSD%26variant%3D44005648531689%26utm_medium%3Dcpc%26utm_source%3Dgoogle%26utm_campaign%3DGoogle%2520Shopping%26stkn%3D086a1c0b803a%26srsltid%3DAfmBOooE_cGsmrdp-Xupvwm1CnKxm_sPKvrk85quhMT-EW-fnnx2MUyCGLA&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIgQk&usg=AOvVaw0xAHy_7QQG4lnRRvC_9c46
HHKB topre PBT blank keycaps blank 1u 1x r1 r2 r3 r4 red green pink yellow Topre ...;R$22.68 + tax;KPrepublic;https://www.google.com/url?url=https://kprepublic.com/products/hhkb-topre-pbt-blank-keycaps-blank-1u-1x-r1-r2-r3-r4-for-diy-gaming-mechanical-keyboard-red-green-pink-yellow%3Fvariant%3D29605250301996%26currency%3DUSD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoo-gfwYUXyO67oCQXFy1ANZ-zRnJbSaZjXle610pVM7uhAuh6le5Zw&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIjgk&usg=AOvVaw29C_D2VMT1wChSJMRpuHNI
173keys The Red Knight Pbt Keycaps Key Cap Set For Cherry Mx;R$214.62 + tax;eBay - dajidali81;https://www.google.com/url?url=https://www.ebay.com/itm/355011480998%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26srsltid%3DAfmBOorXzwteqoWYrmPJKKdZqs1EQjaoxlrDEeOBzI-LjsDzuFSgdRgWs64&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkImwk&usg=AOvVaw0mH9_Cm1uHj5bTQXuppB7h
ACGAM Gradient OEM Profile Keycap Set 123 Keys - WhatGeek Red;R$282.14 + tax;WhatGeek;https://www.google.com/url?url=https://www.whatgeek.com/products/acgam-gradient-oem-profile-keycap-set-123-keys%3Fvariant%3D43577137758461%26currency%3DUSD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOorLAeEqN2-wnAJpnVv4C5MNO-sLply1FQaTH35f3Ys0cXStDEXe1XI&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIqAk&usg=AOvVaw3PM5xTmYnQLbrXf3IFiouY
White Red 87 Keycaps, PBT Material OEM Height Mechanical Keyboard Keycaps, Double ...;R$65.23;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005004577902412.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkItgk&usg=AOvVaw2jw2Gk0lx270Mg9eewHUYF
Gmk Copy Blot Style Dark Red Keycap Cherry Profile Pbt Set For Cherry;R$75.54 + tax;eBay;https://www.google.com/url?url=https://www.ebay.com/itm/235040075347%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26var%3D534970809828%26srsltid%3DAfmBOopeucv4QxehjGpUo0meMQVQ1MTZpPUWWdnGtp0DFLSJ4kv2pingWYM&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIwgk&usg=AOvVaw2JRhuM9cjL0v-O3451J6x9
Novelty Shine Through Keycaps ABS Etched qwer asdf zxcv red custom mechanical ...;R$22.68 + tax;KPrepublic;https://www.google.com/url?url=https://kprepublic.com/products/novelty-shine-through-keycaps-abs-etched-shine-through-qwer-asdf-zxcv-red-custom-mechanical-keyboards-gaming-key-for-87-104-60%3Fvariant%3D14623711756332%26currency%3DUSD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOor6MV95478f0HP-RYCHsomtFyMtuB7FaoKyirmAoxOcKgRTUv7oTgc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIzwk&usg=AOvVaw3RnqalXQ4LFZjjJI-8IKih
Keycaps Akko Profile Red Fuji, JDA, ANSI, 161 Teclas;R$379.90;Terabyteshop;https://www.google.com/shopping/product/16601524282738631081?hl=en-US&psb=1&q=key+caps+red+switch&oq=key+caps+red+switch&gs_lcp=Cgtwcm9kdWN0cy1jYxADUABYAGAAaABwAHgAgAEAiAEAkgEAmAEA&sclient=products-cc&prds=eto:1050490159589355715_0,pid:6925729914173007926&sa=X&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ8wII3Ak
Keycaps Roxo e Verde - US;R$119.03;Simpla Gamer;https://www.google.com/url?url=https://www.simplagamer.com.br/roxo-e-verde-us/%3Fsku%3D1704726.141128.0%26srsltid%3DAfmBOooE7aY1OS4VawOR8liOwmb9TIgFJqmgogFI8mcnivsb1R7MUwrdCeU&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI6Ak&usg=AOvVaw3lxrXG3oUcOgDufpyEkgln
Custom Low Profile PBT Keycaps, conjunto completo para Gateron Cherry MX Switches ...;R$90.01;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005005549443273.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI9Ak&usg=AOvVaw2YRvw_E5-yztr_2RmUkV6s
Gmk Copy Simple Red Style Keycap Cherry Profile 140pcs/set For Mx;R$125.93 + tax;eBay;https://www.google.com/url?url=https://www.ebay.com/itm/235068723992%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26srsltid%3DAfmBOopvjQsTZF9jivJZCqZ1PLlJOLne7YS5oeiruG379WallD0H3lQL1IU&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIgAo&usg=AOvVaw1CjO9Qe6U-4AqvsG-NafZI
104 Keycaps Pbt Xda Dsa Thermal Sublimação Processo Chave De Teclado Mecânico ...;R$282.00;Carrefour;https://www.google.com/url?url=https://www.carrefour.com.br/104-keycaps-pbt-xda-dsa-thermal-sublimacao-processo-chave-de-teclado-mecanico-keycaps-para-switches-mp922777851/p&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIjQo&usg=AOvVaw2szG4oFcGXisL-oSVwgC-1
104 chaves Pudim Keycaps oem Profile Double Shot pbt Backlight Keycaps for ...;R$129.00;Americanas.com;https://www.google.com/url?url=https://www.americanas.com.br/produto/7468496474/104-chaves-pudim-keycaps-oem-profile-double-shot-pbt-backlight-keycaps-for-mechanical-gaming-keyboard-cherry-mx-switch-preto%3Fopn%3DYSMESP%26offerId%3D6504066acc553093852d0d22%26srsltid%3DAfmBOoreLcIDgu2iULiu7NPQ-hCnkO4AeAARKxGXIBgHPF-nJQqiLUOFuNg&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkImQo&usg=AOvVaw0ia7yeH6UGvqZPC_5s3sjP
ACGAM Red Samurai Theme PBT Cherry Profile Keycap Set 159 Keys - WhatGeek;R$196.48 + tax;WhatGeek;https://www.google.com/url?url=https://www.whatgeek.com/products/acgam-red-samurai-theme-pbt-cherry-profile-keycap-set-159-keys%3Fvariant%3D43629984809213%26currency%3DUSD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOopBgMgCJ_8_ZiNyngPj4AMMBNnZQvuVzogaT9M6lKAc4v5dQWrCJgM&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIpQo&usg=AOvVaw2xSL0erIuHZ9UFn9Lgn2hY
vermelho retrô Cherry Profile PBT Frontier Key Cap para GMK Cherry MX Switch ...;R$91.15;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005003969172980.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIsgo&usg=AOvVaw0dJKJ0NlQDjkYMzjNhuMBj
High Quality 106 Keys Pbt Custom Keycaps For Custom Keyboard, Red And;R$181.36 + tax;eBay;https://www.google.com/url?url=https://www.ebay.com/itm/115567932889%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26srsltid%3DAfmBOop61o2CrG6lYIAGYjWP5btAbLYYeclFIfWNDDp4OHL7GLyJEvsrxvo&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIvgo&usg=AOvVaw1tnuctIuadBRd4D2-jpAtI
121-key Kit Diy Pbt Key Caps Keycaps Compatível Com Cherry;R$162.08;Mercado Livre;https://www.google.com/shopping/product/11164236072867838376?hl=en-US&psb=1&q=key+caps+red+switch&oq=key+caps+red+switch&gs_lcp=Cgtwcm9kdWN0cy1jYxADUABYAGAAaABwAHgAgAEAiAEAkgEAmAEA&sclient=products-cc&prds=eto:6107534822983758463_0,pid:7239131798292936989&sa=X&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ8wIIywo
GTSP 61 Red Keycaps 60 Percent Keycap Set PBT OEM Ducky Keycap with Key Puller ...;R$428.33 + tax;My Kiron;https://www.google.com/url?url=https://mykiron.com/products/B08P6YDTH9&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI1wo&usg=AOvVaw3q1JPhKRIWLI_QQ1upKZS9
Qwert 112 Chaves Roxo Datang Keycap pbt Sublimação Keycaps oem Perfil Teclado ...;R$255.00;Americanas.com;https://www.google.com/url?url=https://www.americanas.com.br/produto/7468378449/qwert-112-chaves-roxo-datang-keycap-pbt-sublimacao-keycaps-oem-perfil-teclado-mecanico-keycap-estilo-chines-gk61-gk64-teclados%3Fopn%3DYSMESP%26offerId%3D65033323cc55309385d1597d%26srsltid%3DAfmBOops7HxwWkyclEO-ofUjmEhOr4w5iXxEU8KMy2r3BUl05chQid1Gey0&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI5Ao&usg=AOvVaw2vHm68eRa0niNH90Z_7vs_
Ducky Rubber Keycap Red Color, Rubber, Seamless double shot | DKSA31-USRDRNNO1;R$179.50 + tax;Microless.com;https://www.google.com/url?url=https://global.microless.com/product/ducky-rubber-keycap-red-color-31-keys-rubber-seamless-double-shot-dksa32-usrdrnno1/%3Fcurrency%3Dusd&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI8Ao&usg=AOvVaw08PJLqWdTHoldtK4pcFEE3
Keycaps Cherry 104 Keys Hyper Fuse Roxo E Cinza No Brasil Kumori;R$248.90;Kumori;https://www.google.com/shopping/product/1194575874752990900?hl=en-US&psb=1&q=key+caps+red+switch&oq=key+caps+red+switch&gs_lcp=Cgtwcm9kdWN0cy1jYxADUABYAGAAaABwAHgAgAEAiAEAkgEAmAEA&sclient=products-cc&prds=eto:3495694458680057438_0,pid:4147651108170551342&sa=X&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ8wII_go
Red Dead Redemption Theme Pbt Keycaps, 108 teclas para teclado mecânico, perfil ...;R$121.44;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005005880490221.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIiws&usg=AOvVaw0_qMJuBx-HrWeofprSBksz
Red Abs Direction Keys Up, Down, Left, And Right Mechanical Keyboard Personality ...;R$114.09;Ubuy;https://www.google.com/url?url=https://www.a.ubuy.com.kw/en/product/E6MCQF28-red-abs-direction-keys-up-down-left-and-right-mechanical-keyboard-personality-transparent-keycap-r1%3Fsrsltid%3DAfmBOop3EdMrI2Mp9NlxlFh6pzmfPUkD-GQiJSP-X5kVzQGyM2DCUdE7Dso&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIlws&usg=AOvVaw13gOWVCrkuEJPMJ5XjAUfU
Typewriter Style Round Keycap Set for Mechanical Keyboards, Red;R$226.76 + tax;The PNK Stuff;https://www.google.com/url?url=https://www.thepnkstuff.com/products/typewriter-style-keycap-set-limited-edition%3Fcurrency%3DUSD%26variant%3D42325978775605%26utm_medium%3Dcpc%26utm_source%3Dgoogle%26utm_campaign%3DGoogle%2520Shopping%26stkn%3Dd2502948a217%26srsltid%3DAfmBOoonYZKgCLP8e4nmCEfdIRtXEWgfi29JfYVvB5oZYppgXPFAUw4SXhI&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIpAs&usg=AOvVaw0VxmvraMLhN4QIxhOOvPQN
4pcs/set Abs R4 Key Caps Red Keycaps Translucent Keycaps Keyboard;R$44.95 + tax;eBay - zvideoz;https://www.google.com/url?url=https://www.ebay.com/itm/354935528174%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26srsltid%3DAfmBOoq9YVKpqhCYKfnoWgRdxuhVqz0hu_H7fFEkAhcm7GMTWjKOAEnAoUQ&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIsQs&usg=AOvVaw1Ld0SHdoCjNdTRJiginGS5
Translúcido double shot pbt 104 KeyCaps Retroiluminado para cherry mx Keyboard ...;R$125.00;Americanas.com;https://www.google.com/url?url=https://www.americanas.com.br/produto/7468040252/translucido-double-shot-pbt-104-keycaps-retroiluminado-para-cherry-mx-keyboard-switch-roxo%3Fopn%3DYSMESP%26offerId%3D65010866cc55309385d6c5b3%26srsltid%3DAfmBOorRu1r18snw0p7XvMJMCCIhEbPmxLv7LD6FUI-4nyoaK1A0q3XZw1o&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIvgs&usg=AOvVaw3wwbegj1XKY6lvL_xgB_VW
COLOR Keycaps 127 Keys Profile Pbt Dye Sublimação Generic;R$117.96;Mercado Livre;https://www.google.com/shopping/product/11978369903363013295?hl=en-US&psb=1&q=key+caps+red+switch&oq=key+caps+red+switch&gs_lcp=Cgtwcm9kdWN0cy1jYxADUABYAGAAaABwAHgAgAEAiAEAkgEAmAEA&sclient=products-cc&prds=eto:11034395804458853049_0,pid:1863642146875312666&sa=X&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ8wIIygs
Ducky 108 Key Pudding Keycap Set, Seamless Doubleshot Serenity, Blue Alpha ...;R$178.09 + tax;Microless.com;https://www.google.com/url?url=https://global.microless.com/product/ducky-108-key-pudding-keycap-set-seamless-doubleshot-serenity-blue-alpha-keycaps-with-red-modifiers-pbt-material-backlit-red-blue-dksa108-uspdzwnor/%3Fcurrency%3Dusd&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI1gs&usg=AOvVaw32d9VkESZl2XcN0XS5ayjv
G-MKY 160 KEYS Cherry Profile Olivia Keycap DOUBLE SHOT Thick PBT Keycaps FOR MX ...;R$403.09 + tax;BuyAndNow.com;https://www.google.com/url?url=https://buyandnow.com/g-mky-160-keys-cherry-profile-olivia-keycap-double-shot-thick-pbt-keycaps-for-mx-switch-mechanical-keyboard/&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI5As&usg=AOvVaw3ti5XDfyAVVdvebpjlnz8Z
Mechanical keyboard keycaps set;R$342.62 + tax;The Planter&Co;https://www.google.com/url?url=https://www.theplanterco.com/es/products/cute-mechanical-keyboard-keycaps-set%3Fsrsltid%3DAfmBOoqJ5HOC0wBpeVa1ZM5gRXFKHuSvNX-MkHsLJ05qA9-UMFrklVGrEL0&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI8Qs&usg=AOvVaw2smzEzqgbz3uh50Cc88S2v
Nc Xda 24pcs 1x Black White Orange Red Gray Blue Beige Keycap For Mx Mechanical ...;R$110.86;Ubuy;https://www.google.com/url?url=https://www.ubuy.dk/en/product/46FCZTIEI-nc-xda-24pcs-1x-black-white-orange-red-gray-blue-beige-keycap-for-mx-mechanical-keyboarddark-pink%3Fsrsltid%3DAfmBOoriVP2XT2PoDpsTNiIZsIbXSeAPUzaYSmu_SQQGiaHtnfPukDieqks&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI_gs&usg=AOvVaw0l5ca_Sv6FZqa2nEM-lMMH
Red Samurai Keycaps Set 164 Keys PBT Doubleshot Keycaps Cherry Profile Custom ...;R$755.88 + tax;My Kiron;https://www.google.com/url?url=https://mykiron.com/products/B0B12XVKWV&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIiww&usg=AOvVaw3AtvfzgBIPKUgmaIgNjbO0
Pbt Simple Red Style Keycap Cherry Profile 140pcs/set For Mx Keyboard;R$119.68 + tax;eBay - weigoumaoyi;https://www.google.com/url?url=https://www.ebay.com/itm/175791299271%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26srsltid%3DAfmBOopvB6hU6qMKGIGvYYBmbsUM82eHNehXIfOVaRxV5r1tZlQVraK7rDw&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkImAw&usg=AOvVaw3yIRLhl-fRNq7Wc6iKOBH3
